# Davis et al. 2020 eLife 9:e50901 (GEO GSE116969; supp. file 1A) cell-type names -> MaleCNS v1.0 types. tier: exact = same name, no rename found; alias = documented 1:1 rename; fuzzy = one source pooled over several MaleCNS subtypes or a combo driver (rule in evidence); class = broad driver / whole-tissue reference matched to an NT class, a superclass (malecns_type gives the selector) or a named peptide population (Pdf, Ilp2, Crz, Dsk, NPF); unmatched = no MaleCNS counterpart. qc: pass = Davis QC-pass samples (tables 4 / 7b); suboptimal_only = Davis marked every sample of that driver 'suboptimal' (expression from table 3 sample means, no p_on). n_cells_malecns / out_syn_malecns from cache/neurons.parquet + W_post_pre.npz (|W| column sums; sign-0 presynaptic cells count 0). malecns_nt = majority model NT label; davis_nt_call / davis_nt_secondary = transmitter class(es) from the synthesis / transport genes (rule in the expression table header). Built by scripts/build_davis2020_tables.py (round 2 of the NT-integration workflow, docs/NT_INTEGRATION.md section 7).
source_name,malecns_type,tier,evidence,n_cells_malecns,qc,malecns_superclass,malecns_nt,out_syn_malecns,davis_nt_call,davis_nt_secondary
KC_ab_c.p.s,KCab-p,fuzzy,"combo driver MB008B 'KC a/b c, p, s' (supp. 1A); KCab-m (536 cells) not named by the driver, excluded",129,pass,cb_intrinsic,acetylcholine,71910,acetylcholine,
KC_ab_c.p.s,KCab-s,fuzzy,"combo driver MB008B 'KC a/b c, p, s' (supp. 1A); KCab-m (536 cells) not named by the driver, excluded",657,pass,cb_intrinsic,acetylcholine,306346,acetylcholine,
KC_gd,KCg-d,alias,Davis 'KC gd' drivers MB419B / MB607B = MaleCNS KCg-d,206,pass,cb_intrinsic,acetylcholine,134555,acetylcholine,glutamate
KC_apbp_ap,KCa'b'-ap1,fuzzy,driver MB463B 'KC a'/b' ap'; MaleCNS splits ap into ap1 / ap2; QC-fail samples only,199,suboptimal_only,cb_intrinsic,acetylcholine,144274,acetylcholine,
KC_apbp_ap,KCa'b'-ap2,fuzzy,driver MB463B 'KC a'/b' ap'; MaleCNS splits ap into ap1 / ap2; QC-fail samples only,291,suboptimal_only,cb_intrinsic,acetylcholine,190387,acetylcholine,
KC_apbp_m,KCa'b'-m,alias,driver MB418B 'KC a'/b' m' = MaleCNS KCa'b'-m; QC-fail samples only,205,suboptimal_only,cb_intrinsic,acetylcholine,125041,acetylcholine,
MBON_bp1,MBON10,alias,driver MB057B 'MBON-b'1'; MaleCNS instance MBON10(B'1); QC-fail samples only,9,suboptimal_only,cb_intrinsic,gaba,4436,gaba,glutamate
MBON_g1pedc,MBON11,alias,driver MB112C 'MBON-g1pedc>a/b'; MaleCNS instance MBON11(y1pedc>a/B); QC-fail samples only,2,suboptimal_only,cb_intrinsic,gaba,10605,gaba,glutamate
PAM_1,PAM02,alias,"Davis PAM_1 driver MB109B = Aso-2014 compartment(s) PAM-b'2a; MaleCNS instance names carry the compartment: PAM02(B'2a); PAM03(B2B'2a) and PAM15(y5B'2a) also innervate b'2a but are not the MB109B population, excluded",17,pass,cb_intrinsic,dopamine,0,dopamine,glutamate
PAM_3,PAM04,fuzzy,"Davis PAM_3 driver MB213B = Aso-2014 compartment(s) PAM-b1, PAM-b2; MaleCNS instance names carry the compartment: PAM04(B2), PAM09(B1ped), PAM10(B1); the b1 population was split into B1 / B1ped in the EM",32,pass,cb_intrinsic,dopamine,0,dopamine,glutamate
PAM_3,PAM09,fuzzy,"Davis PAM_3 driver MB213B = Aso-2014 compartment(s) PAM-b1, PAM-b2; MaleCNS instance names carry the compartment: PAM04(B2), PAM09(B1ped), PAM10(B1); the b1 population was split into B1 / B1ped in the EM",9,pass,cb_intrinsic,dopamine,0,dopamine,glutamate
PAM_3,PAM10,fuzzy,"Davis PAM_3 driver MB213B = Aso-2014 compartment(s) PAM-b1, PAM-b2; MaleCNS instance names carry the compartment: PAM04(B2), PAM09(B1ped), PAM10(B1); the b1 population was split into B1 / B1ped in the EM",15,pass,cb_intrinsic,dopamine,0,dopamine,glutamate
PAM_4,PAM07,fuzzy,"Davis PAM_4 driver MB312B = Aso-2014 compartment(s) PAM-g4, PAM-g4<g1g2; MaleCNS instance names carry the compartment: PAM08(y4), PAM07(y4<y1y2)",14,pass,cb_intrinsic,dopamine,0,dopamine,
PAM_4,PAM08,fuzzy,"Davis PAM_4 driver MB312B = Aso-2014 compartment(s) PAM-g4, PAM-g4<g1g2; MaleCNS instance names carry the compartment: PAM08(y4), PAM07(y4<y1y2)",50,pass,cb_intrinsic,dopamine,0,dopamine,
PAM_2,PAM02,fuzzy,"Davis PAM_2 driver MB196B = Aso-2014 compartment(s) PAM-b'2a, g3, g4, g4<g1g2, g5; MaleCNS instance names carry the compartment: PAM02, PAM12(y3), PAM08(y4), PAM07(y4<y1y2), PAM01(y5); QC-fail samples only",17,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_2,PAM12,fuzzy,"Davis PAM_2 driver MB196B = Aso-2014 compartment(s) PAM-b'2a, g3, g4, g4<g1g2, g5; MaleCNS instance names carry the compartment: PAM02, PAM12(y3), PAM08(y4), PAM07(y4<y1y2), PAM01(y5); QC-fail samples only",22,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_2,PAM08,fuzzy,"Davis PAM_2 driver MB196B = Aso-2014 compartment(s) PAM-b'2a, g3, g4, g4<g1g2, g5; MaleCNS instance names carry the compartment: PAM02, PAM12(y3), PAM08(y4), PAM07(y4<y1y2), PAM01(y5); QC-fail samples only",50,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_2,PAM07,fuzzy,"Davis PAM_2 driver MB196B = Aso-2014 compartment(s) PAM-b'2a, g3, g4, g4<g1g2, g5; MaleCNS instance names carry the compartment: PAM02, PAM12(y3), PAM08(y4), PAM07(y4<y1y2), PAM01(y5); QC-fail samples only",14,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_2,PAM01,fuzzy,"Davis PAM_2 driver MB196B = Aso-2014 compartment(s) PAM-b'2a, g3, g4, g4<g1g2, g5; MaleCNS instance names carry the compartment: PAM02, PAM12(y3), PAM08(y4), PAM07(y4<y1y2), PAM01(y5); QC-fail samples only",44,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_5,PAM01,alias,Davis PAM_5 driver MB315C = Aso-2014 compartment(s) PAM-g5; MaleCNS instance names carry the compartment: PAM01(y5); QC-fail samples only,44,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,octopamine
PAM_6,PAM06,fuzzy,"Davis PAM_6 driver MB042B = Aso-2014 compartment(s) PAM-b'2m, g3, g4, g5; MaleCNS instance names carry the compartment: PAM06(B'2m), PAM12(y3), PAM08(y4), PAM01(y5); QC-fail samples only",28,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_6,PAM12,fuzzy,"Davis PAM_6 driver MB042B = Aso-2014 compartment(s) PAM-b'2m, g3, g4, g5; MaleCNS instance names carry the compartment: PAM06(B'2m), PAM12(y3), PAM08(y4), PAM01(y5); QC-fail samples only",22,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_6,PAM08,fuzzy,"Davis PAM_6 driver MB042B = Aso-2014 compartment(s) PAM-b'2m, g3, g4, g5; MaleCNS instance names carry the compartment: PAM06(B'2m), PAM12(y3), PAM08(y4), PAM01(y5); QC-fail samples only",50,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_6,PAM01,fuzzy,"Davis PAM_6 driver MB042B = Aso-2014 compartment(s) PAM-b'2m, g3, g4, g5; MaleCNS instance names carry the compartment: PAM06(B'2m), PAM12(y3), PAM08(y4), PAM01(y5); QC-fail samples only",44,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_7,PAM11,alias,Davis PAM_7 driver MB043C = Aso-2014 compartment(s) PAM-a1; MaleCNS instance names carry the compartment: PAM11(a1); QC-fail samples only,15,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,glutamate
PAM_8,PAM12,alias,Davis PAM_8 driver MB441B = Aso-2014 compartment(s) PAM-g3; MaleCNS instance names carry the compartment: PAM12(y3); QC-fail samples only,22,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,
PAM_9,PAM09,fuzzy,"Davis PAM_9 driver MB063B = Aso-2014 compartment(s) PAM-b1; MaleCNS instance names carry the compartment: PAM09(B1ped), PAM10(B1); QC-fail samples only",9,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,glutamate
PAM_9,PAM10,fuzzy,"Davis PAM_9 driver MB063B = Aso-2014 compartment(s) PAM-b1; MaleCNS instance names carry the compartment: PAM09(B1ped), PAM10(B1); QC-fail samples only",15,suboptimal_only,cb_intrinsic,dopamine,0,dopamine,glutamate
PB_1,Delta7,alias,"Davis PB_1 driver SS00116 = Wolff-2015 'PB18.s-GxD7Gy.b / PB18.s-9i1i8c.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: PB18.s-GxD7Gy.b = Delta7 (PB18.s-9i1i8c.b is the second Delta7 name, e.g. Pisokas 2020 bioRxiv 854521); MaleCNS Delta7 (hemibrainType Delta7, instance Delta7(PB15))",42,pass,cb_intrinsic,glutamate,94826,glutamate,
PB_2,EPG,alias,"Davis PB_2 driver SS00090 = Wolff-2015 'PBG1-8.b-EBw.s-D/Vgall.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: PBG1-8.b-EBw.s-D/V GA.b = E-PG, and Table 2 lists SS00090 for that type (18-21 cells/hemisphere); MaleCNS EPG (hemibrainType EPG, instance EPG(PB08)). EPGt (4 cells, PB09) excluded",46,pass,cb_intrinsic,acetylcholine,114854,acetylcholine,
PB_3,PEN_a(PEN1),fuzzy,"Davis PB_3 driver SS02268 = Wolff-2015 'PBG2-9.s-EBt.b-NO1.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-EN1, P-EN2; MaleCNS PEN_a(PEN1) / PEN_b(PEN2); the light-level driver covers both. CAUTION supp. 1A: 'many OL cells including Mi1; also GF cells; OL cells outnumber cells in PB' -> this transcriptome is contaminated",20,pass,cb_intrinsic,acetylcholine,41311,acetylcholine,
PB_3,PEN_b(PEN2),fuzzy,"Davis PB_3 driver SS02268 = Wolff-2015 'PBG2-9.s-EBt.b-NO1.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-EN1, P-EN2; MaleCNS PEN_a(PEN1) / PEN_b(PEN2); the light-level driver covers both. CAUTION supp. 1A: 'many OL cells including Mi1; also GF cells; OL cells outnumber cells in PB' -> this transcriptome is contaminated",22,pass,cb_intrinsic,acetylcholine,36254,acetylcholine,
PB_4,PFNp_a,fuzzy,"Davis PB_4 drivers SS02204 / SS02302 = Wolff-2015 'PBG2-9.s-FBl1.b-NO3P.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-FNP = hemibrain / MaleCNS PFNp, split into PFNp_a-e by connectivity (Hulse 2021); prefix rule",64,pass,cb_intrinsic,acetylcholine,16548,acetylcholine,glutamate
PB_4,PFNp_b,fuzzy,"Davis PB_4 drivers SS02204 / SS02302 = Wolff-2015 'PBG2-9.s-FBl1.b-NO3P.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-FNP = hemibrain / MaleCNS PFNp, split into PFNp_a-e by connectivity (Hulse 2021); prefix rule",136,pass,cb_intrinsic,acetylcholine,26593,acetylcholine,glutamate
PB_4,PFNp_c,fuzzy,"Davis PB_4 drivers SS02204 / SS02302 = Wolff-2015 'PBG2-9.s-FBl1.b-NO3P.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-FNP = hemibrain / MaleCNS PFNp, split into PFNp_a-e by connectivity (Hulse 2021); prefix rule",40,pass,cb_intrinsic,acetylcholine,19484,acetylcholine,glutamate
PB_4,PFNp_d,fuzzy,"Davis PB_4 drivers SS02204 / SS02302 = Wolff-2015 'PBG2-9.s-FBl1.b-NO3P.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-FNP = hemibrain / MaleCNS PFNp, split into PFNp_a-e by connectivity (Hulse 2021); prefix rule",28,pass,cb_intrinsic,acetylcholine,3280,acetylcholine,glutamate
PB_4,PFNp_e,fuzzy,"Davis PB_4 drivers SS02204 / SS02302 = Wolff-2015 'PBG2-9.s-FBl1.b-NO3P.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-FNP = hemibrain / MaleCNS PFNp, split into PFNp_a-e by connectivity (Hulse 2021); prefix rule",23,pass,cb_intrinsic,acetylcholine,8989,acetylcholine,glutamate
PB_5,PFNa,alias,Davis PB_5 driver SS02255 = Wolff-2015 'PBG2-9.s-FBl2.b-NO3A.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-FNA = MaleCNS PFNa (instance PFNa(PB03)),58,pass,cb_intrinsic,acetylcholine,40694,acetylcholine,
PB_6,PFNd,alias,Davis PB_6 driver SS00078 = Wolff-2015 'PBG2-9.s-FBl3.b-NO2D.b'; Wolff & Rubin 2018 J Comp Neurol 526:2585 Table 5: = P-FND and Table 2 lists SS00078 for it (18 cells/hemisphere) = MaleCNS PFNd (instance PFNd(PB04)); QC-fail samples only,40,suboptimal_only,cb_intrinsic,acetylcholine,49710,acetylcholine,
ChAT,<nt=acetylcholine>,class,ChAT-T2A-GAL4 protein trap (BL-60317): all cholinergic neurons of the head; matched to every MaleCNS cell with nt = acetylcholine (predicted label),104040,pass,ol_intrinsic,acetylcholine,73635616,acetylcholine,gaba+glutamate
Gad1,<nt=gaba>,class,Gad1-T2A-GAL4 protein trap (BL-60324): all GABAergic neurons; matched to MaleCNS nt = gaba,22135,pass,ol_intrinsic,gaba,25924948,gaba,
VGlut,<nt=glutamate>,class,VGlut-T2A-GAL4 protein trap (BL-60312): all glutamatergic neurons; matched to MaleCNS nt = glutamate,29616,pass,ol_intrinsic,glutamate,21179300,glutamate,
opticlobe,<superclass=ol_intrinsic|ol_sensory|visual_projection|visual_centrifugal>,class,"dissected optic lobe tissue (supp. 1A opticlobe_d1/d2), all cells incl. glia; whole optic-lobe reference only",105252,pass,ol_intrinsic,acetylcholine,53685696,glutamate,gaba+acetylcholine
lamina,,unmatched,dissected lamina tissue; no MaleCNS type; not used,0,pass,,,0,glutamate,acetylcholine
Kdm2,,unmatched,"enhancer-trap BL-30819 (P{GawB}Kdm2[36Y], Taghert et al 2001), 'putative Kdm2 expressing cells': no cell-type identity, no MaleCNS counterpart",0,pass,,,0,gaba,glutamate+dopamine+acetylcholine
CCAP,,unmatched,"CCAP-GAL4 (BL-25686, P{CCAP-GAL4.P}9, Park et al 2003): MaleCNS v1.0 has no CCAP-named type; QC-fail only",0,suboptimal_only,,,0,glutamate,
Glia_Eg,,unmatched,epithelial glia: MaleCNS has no glia,0,pass,,,0,glutamate,
Glia_Mg,,unmatched,marginal glia: no glia in MaleCNS,0,pass,,,0,glutamate,
Glia_Psg,,unmatched,pseudocartridge glia: no glia in MaleCNS,0,pass,,,0,glutamate,
Muscles_App,,unmatched,muscle: not neurons,0,pass,,,0,none,
Muscles_Head,,unmatched,muscle: not neurons,0,pass,,,0,gaba,glutamate
