# Özel et al. 2021 Nature 589:88-95 (doi:10.1038/s41586-020-2879-3), adult optic-lobe scRNA-seq clusters
# (GEO GSE142787, Supplementary Table 1 annotations) -> MaleCNS v1.0 cell types (cache/neurons.parquet).
# Built by scripts/build_ozel2021_tables.py; provenance and coverage in docs/audits/receptor_sources_ozel2021.md.
# tier: exact = author annotation is the MaleCNS type name (unstarred); alias = documented renaming (none needed);
# fuzzy = author-starred (less confident) annotation, a 'likely' assignment, a subtype letter not shown to correspond,
# or a name-only match whose identity with the MaleCNS type is contested (Tm29); class = source cluster pools several
# MaleCNS types (incl. Pm1 -> Pm1/Pm5/Pm6 per Nern 2025 Sup_Table_7) or is a subdivision of one; unmatched = no evidenced type.
# flag: name_collision = Özel/FCA 'Tm29' vs MaleCNS Tm29 (= FlyWire Tm5d / CB3851, glutamate; FCA Tm29 cholinergic);
# minor_split = Schlegel Dm11 = MaleCNS Dm11 + Dm-DRA2 (33 cells, not added). Empty otherwise.
# source_name = the author's annotation (cluster number when unannotated); source_cluster = ST1 / GEO column id;
# n_cells_malecns = cells of malecns_type in MaleCNS; malecns_nt = the model's transmitter label (mode).
source_name,malecns_type,tier,flag,evidence,n_cells_malecns,source_cluster,malecns_superclass,malecns_nt
Pm1,Pm1,class,,"ST1: only cluster hth+, svp+, tsh+, Lim3+ by mixture modelling, the Pm1 markers of Erclik et al. 2017; the 2020-era Pm1 (FlyWire/Schlegel 'Pm1', 245/231 cells) is a THREE-way MaleCNS split per Nern 2025 Sup_Table_7: Pm1 (Matsliah Pm01, 121 cells in the Nern optic-lobe volume; 246 cells / 169,388 out-syn in MaleCNS), Pm5 (Matsliah Pm02, 94; 182 / 147,555) and Pm6 (Matsliah Pm06, 24; 50 / 77,713); tiered class like Pm2 -> Pm2a/Pm2b (round-2 correction of a round-1 'exact' row)",246,163,ol_intrinsic,gaba
Pm1,Pm5,class,,"ST1: only cluster hth+, svp+, tsh+, Lim3+ by mixture modelling, the Pm1 markers of Erclik et al. 2017; the 2020-era Pm1 (FlyWire/Schlegel 'Pm1', 245/231 cells) is a THREE-way MaleCNS split per Nern 2025 Sup_Table_7: Pm1 (Matsliah Pm01, 121 cells in the Nern optic-lobe volume; 246 cells / 169,388 out-syn in MaleCNS), Pm5 (Matsliah Pm02, 94; 182 / 147,555) and Pm6 (Matsliah Pm06, 24; 50 / 77,713); tiered class like Pm2 -> Pm2a/Pm2b (round-2 correction of a round-1 'exact' row)",182,163,ol_intrinsic,gaba
Pm1,Pm6,class,,"ST1: only cluster hth+, svp+, tsh+, Lim3+ by mixture modelling, the Pm1 markers of Erclik et al. 2017; the 2020-era Pm1 (FlyWire/Schlegel 'Pm1', 245/231 cells) is a THREE-way MaleCNS split per Nern 2025 Sup_Table_7: Pm1 (Matsliah Pm01, 121 cells in the Nern optic-lobe volume; 246 cells / 169,388 out-syn in MaleCNS), Pm5 (Matsliah Pm02, 94; 182 / 147,555) and Pm6 (Matsliah Pm06, 24; 50 / 77,713); tiered class like Pm2 -> Pm2a/Pm2b (round-2 correction of a round-1 'exact' row)",50,163,ol_intrinsic,gaba
Mi4,Mi4,exact,,"ST1: 'Clear match to Mi4 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05)",1772,164,ol_intrinsic,gaba
C3,C3,exact,,"ST1: 'Clear match to C3 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05)",1779,165,ol_intrinsic,gaba
166,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,166,,
167,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,167,,
168,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,168,,
170,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,170,,
171,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,171,,
172,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,172,,
173,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,173,,
174,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,174,,
Pm2,Pm2a,class,,"ST1: 'Clear match to Pm2 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05); FlyWire/Schlegel Pm2 = MaleCNS Pm2a (Matsliah Pm03) + Pm2b (Matsliah Pm08) per Nern 2025 Sup_Table_7 (connectivity split, Nern 2025 ED Fig. 2e-h; the Pm2 driver labels the group '[Pm2]')",219,175,ol_intrinsic,gaba
Pm2,Pm2b,class,,"ST1: 'Clear match to Pm2 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05); FlyWire/Schlegel Pm2 = MaleCNS Pm2a (Matsliah Pm03) + Pm2b (Matsliah Pm08) per Nern 2025 Sup_Table_7 (connectivity split, Nern 2025 ED Fig. 2e-h; the Pm2 driver labels the group '[Pm2]')",124,175,ol_intrinsic,gaba
176,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,176,,
177,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,177,,
178,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,178,,
179,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,179,,
180,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,180,,
181,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,181,,
C2,C2,exact,,"ST1: 'Clear match to C2 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05)",1745,182,ol_intrinsic,gaba
183,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,183,,
184,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,184,,
G01,,unmatched,,glia / low-quality cluster ('G01'),0,185,,
G/LQ1,,unmatched,,glia / low-quality cluster ('G/LQ1'),0,186,,
G02,,unmatched,,glia / low-quality cluster ('G02'),0,187,,
G14ab,,unmatched,,glia / low-quality cluster ('G14ab'),0,188,,
G16/LQ,,unmatched,,glia / low-quality cluster ('G16/LQ'),0,189,,
G/LQ2,,unmatched,,glia / low-quality cluster ('G/LQ2'),0,190,,
191,,unmatched,,ST1: neither glia nor optic-lobe neuron,0,191,,
LQ,,unmatched,,ST1: ambient RNA / low quality,0,192,,
G/LQ3,,unmatched,,glia / low-quality cluster ('G/LQ3'),0,196,,
G/LQ4,,unmatched,,glia / low-quality cluster ('G/LQ4'),0,197,,
G03,,unmatched,,glia / low-quality cluster ('G03'),0,198,,
G04,,unmatched,,glia / low-quality cluster ('G04'),0,199,,
G05,,unmatched,,glia / low-quality cluster ('G05'),0,200,,
G06,,unmatched,,glia / low-quality cluster ('G06'),0,201,,
G07,,unmatched,,glia / low-quality cluster ('G07'),0,202,,
G08,,unmatched,,glia / low-quality cluster ('G08'),0,203,,
G09,,unmatched,,glia / low-quality cluster ('G09'),0,204,,
G10,,unmatched,,glia / low-quality cluster ('G10'),0,205,,
G11,,unmatched,,glia / low-quality cluster ('G11'),0,206,,
G12,,unmatched,,glia / low-quality cluster ('G12'),0,207,,
G13,,unmatched,,glia / low-quality cluster ('G13'),0,208,,
221,,unmatched,,"ST1: split of cluster 97 at P70, 'likely another LC neuron' -- no type",0,221,,
LC6,LC6,exact,,"ST1: backprojection from P70; 'Clear match to LC6 transcriptome' (cluster 97 split into 221 / 222 at P70, 222 = LC6)",124,222,visual_projection,acetylcholine
Dm3a,Dm3a,class,,"ST1: Dm3 subtype from P70 backprojection. Özel could not assign the two orthogonal Dm3 arbor orientations to anatomical directions (ED Fig. 7d, 'Dm3x / Dm3y'); MaleCNS has three Dm3 types (Dm3a = FlyWire Dm3p, Dm3b = Dm3q, Dm3c = Dm3v; Nern 2025). Subtype letters are NOT assumed to correspond; mapped to the Dm3 family",1204,225,ol_intrinsic,glutamate
Dm3a,Dm3b,class,,"ST1: Dm3 subtype from P70 backprojection. Özel could not assign the two orthogonal Dm3 arbor orientations to anatomical directions (ED Fig. 7d, 'Dm3x / Dm3y'); MaleCNS has three Dm3 types (Dm3a = FlyWire Dm3p, Dm3b = Dm3q, Dm3c = Dm3v; Nern 2025). Subtype letters are NOT assumed to correspond; mapped to the Dm3 family",1137,225,ol_intrinsic,glutamate
Dm3a,Dm3c,class,,"ST1: Dm3 subtype from P70 backprojection. Özel could not assign the two orthogonal Dm3 arbor orientations to anatomical directions (ED Fig. 7d, 'Dm3x / Dm3y'); MaleCNS has three Dm3 types (Dm3a = FlyWire Dm3p, Dm3b = Dm3q, Dm3c = Dm3v; Nern 2025). Subtype letters are NOT assumed to correspond; mapped to the Dm3 family",787,225,ol_intrinsic,glutamate
Dm3b,Dm3a,class,,as 225: Dm3 subtype letter not transferable; mapped to the Dm3 family,1204,226,ol_intrinsic,glutamate
Dm3b,Dm3b,class,,as 225: Dm3 subtype letter not transferable; mapped to the Dm3 family,1137,226,ol_intrinsic,glutamate
Dm3b,Dm3c,class,,as 225: Dm3 subtype letter not transferable; mapped to the Dm3 family,787,226,ol_intrinsic,glutamate
Tm9v,Tm9,class,,"ST1: ventral Tm9 (Wnt4+) from P70 backprojection; MaleCNS has a single Tm9 type (dorsal / ventral halves could be split by hex column, not done here)",1771,227,ol_intrinsic,acetylcholine
Tm9d,Tm9,class,,ST1: dorsal Tm9 (Wnt10+) from P70 backprojection; MaleCNS Tm9 is one type,1771,228,ol_intrinsic,acetylcholine
88a,,unmatched,,unannotated subdivision of cluster 88,0,229,,
88b,,unmatched,,unannotated subdivision of cluster 88,0,230,,
169a,,unmatched,,unannotated subdivision of cluster 169,0,231,,
169b,,unmatched,,unannotated subdivision of cluster 169,0,232,,
T4-5a/b,T4a,class,,"ST1: T4/T5 subdivision a/b projected from P50 (OOBE 7 % vs class 235 in adults); pools T4a, T4b, T5a, T5b",1684,234,ol_intrinsic,acetylcholine
T4-5a/b,T4b,class,,"ST1: T4/T5 subdivision a/b projected from P50 (OOBE 7 % vs class 235 in adults); pools T4a, T4b, T5a, T5b",1690,234,ol_intrinsic,acetylcholine
T4-5a/b,T5a,class,,"ST1: T4/T5 subdivision a/b projected from P50 (OOBE 7 % vs class 235 in adults); pools T4a, T4b, T5a, T5b",1664,234,ol_intrinsic,acetylcholine
T4-5a/b,T5b,class,,"ST1: T4/T5 subdivision a/b projected from P50 (OOBE 7 % vs class 235 in adults); pools T4a, T4b, T5a, T5b",1715,234,ol_intrinsic,acetylcholine
T4-5c/d,T4c,class,,"ST1: T4/T5 subdivision c/d projected from P50; pools T4c, T4d, T5c, T5d",1778,235,ol_intrinsic,acetylcholine
T4-5c/d,T4d,class,,"ST1: T4/T5 subdivision c/d projected from P50; pools T4c, T4d, T5c, T5d",1709,235,ol_intrinsic,acetylcholine
T4-5c/d,T5c,class,,"ST1: T4/T5 subdivision c/d projected from P50; pools T4c, T4d, T5c, T5d",1720,235,ol_intrinsic,acetylcholine
T4-5c/d,T5d,class,,"ST1: T4/T5 subdivision c/d projected from P50; pools T4c, T4d, T5c, T5d",1620,235,ol_intrinsic,acetylcholine
